시행일자,부위,외기조건,용도,지역,열관류율
20180901,외벽,외기 직접,공동주택,중부1,0.15
20180901,외벽,외기 직접,공동주택 외,중부1,0.17
20180901,외벽,외기 간접,공동주택,중부1,0.21
20180901,외벽,외기 간접,공동주택 외,중부1,0.24
20180901,최상층 지붕,외기 직접,공동주택,중부1,0.15
20180901,최상층 지붕,외기 간접,공동주택,중부1,0.21
20180901,최상층 지붕,외기 직접,공동주택 외,중부1,0.15
20180901,최상층 지붕,외기 간접,공동주택 외,중부1,0.21
20180901,바닥난방인 최하층 바닥,외기 직접,공동주택,중부1,0.15
20180901,바닥난방이 아닌 최하층 바닥,외기 직접,공동주택,중부1,0.17
20180901,바닥난방인 최하층 바닥,외기 간접,공동주택,중부1,0.21
20180901,바닥난방이 아닌 최하층 바닥,외기 간접,공동주택,중부1,0.24
20180901,바닥난방인 최하층 바닥,외기 직접,공동주택 외,중부1,0.15
20180901,바닥난방이 아닌 최하층 바닥,외기 직접,공동주택 외,중부1,0.17
20180901,바닥난방인 최하층 바닥,외기 간접,공동주택 외,중부1,0.21
20180901,바닥난방이 아닌 최하층 바닥,외기 간접,공동주택 외,중부1,0.24
20180901,바닥난방인 층간바닥,외기 직접,공동주택,중부1,0.81
20180901,바닥난방인 층간바닥,외기 직접,공동주택 외,중부1,0.81
20180901,바닥난방인 층간바닥,외기 간접,공동주택,중부1,0.81
20180901,바닥난방인 층간바닥,외기 간접,공동주택 외,중부1,0.81
20180901,바닥난방이 아닌 층간바닥,외기 직접,공동주택,중부1,1.16
20180901,바닥난방이 아닌 층간바닥,외기 직접,공동주택 외,중부1,1.16
20180901,바닥난방이 아닌 층간바닥,외기 간접,공동주택,중부1,1.16
20180901,바닥난방이 아닌 층간바닥,외기 간접,공동주택 외,중부1,1.16
20180901,외벽,외기 직접,공동주택,중부2,0.17
20180901,외벽,외기 직접,공동주택 외,중부2,0.24
20180901,외벽,외기 간접,공동주택,중부2,0.24
20180901,외벽,외기 간접,공동주택 외,중부2,0.34
20180901,최상층 지붕,외기 직접,공동주택,중부2,0.15
20180901,최상층 지붕,외기 간접,공동주택,중부2,0.21
20180901,최상층 지붕,외기 직접,공동주택 외,중부2,0.15
20180901,최상층 지붕,외기 간접,공동주택 외,중부2,0.21
20180901,바닥난방인 최하층 바닥,외기 직접,공동주택,중부2,0.17
20180901,바닥난방이 아닌 최하층 바닥,외기 직접,공동주택,중부2,0.2
20180901,바닥난방인 최하층 바닥,외기 간접,공동주택,중부2,0.24
20180901,바닥난방이 아닌 최하층 바닥,외기 간접,공동주택,중부2,0.29
20180901,바닥난방인 최하층 바닥,외기 직접,공동주택 외,중부2,0.17
20180901,바닥난방이 아닌 최하층 바닥,외기 직접,공동주택 외,중부2,0.2
20180901,바닥난방인 최하층 바닥,외기 간접,공동주택 외,중부2,0.24
