name,type,weekdays,weekends,monday,tuesday,wednesday,thursday,friday,saturday,sunday,holiday
constant_temperature_20,temperature,constant_temperature_20,constant_temperature_20,,,,,,,,
constant_temperature_26,temperature,constant_temperature_26,constant_temperature_26,,,,,,,,
residential_lighting,onoff,onoff_19to24,onoff_19to24,,,,,,,,
residential_people,real,0to24_0.031548,0to24_0.031548,,,,,,,,
residential_equipment,real,0to24_2.166667,0to24_2.166667,,,,,,,,
residential_availability,onoff,all_on,all_on,,,,,,,,
smalloffice_lighting,onoff,onoff_10to16,all_off,,,,,,,,
smalloffice_people,real,smalloffice_people,all_zero,,,,,,,,
smalloffice_equipment,real,smalloffice_equipment,all_zero,,,,,,,,
smalloffice_availability,onoff,onoff_7to18,all_off,,,,,,,,
largeoffice_lighting,onoff,onoff_9to18,all_off,,,,,,,,
largeoffice_people,real,largeoffice_people,all_zero,,,,,,,,
largeoffice_equipment,real,largeoffice_equipment,all_zero,,,,,,,,
largeoffice_availability,onoff,onoff_7to18,all_off,,,,,,,,
meetingroom_lighting,onoff,onoff_7to18,all_off,,,,,,,,
meetingroom_people,real,7to18_0.124675,all_zero,,,,,,,,
meetingroom_equipment,real,7to18_0.727273,all_zero,,,,,,,,
meetingroom_availability,onoff,onoff_7to18,all_off,,,,,,,,
hall_lighting,onoff,onoff_7to18,all_off,,,,,,,,
hall_people,real,hall_people,all_zero,,,,,,,,
hall_equipment,real,hall_equipment,all_zero,,,,,,,,
hall_availability,onoff,onoff_7to18,all_off,,,,,,,,
cafeteria_lighting,onoff,onoff_8to15,all_off,,,,,,,,
cafeteria_people,real,cafeteria_people,all_zero,,,,,,,,
cafeteria_equipment,real,cafeteria_equipment,all_zero,,,,,,,,
cafeteria_availability,onoff,onoff_8to15,all_off,,,,,,,,
toilet_lighting,onoff,onoff_7to18,all_off,,,,,,,,
toilet_people,real,all_zero,all_zero,,,,,,,,
toilet_equipment,real,all_zero,all_zero,,,,,,,,
toilet_availability,onoff,onoff_7to18,all_off,,,,,,,,
etc_lighting,onoff,onoff_7to18,all_off,,,,,,,,
etc_people,real,7to18_0.124675,all_zero,,,,,,,,
etc_equipment,real,7to18_0.727273,all_zero,,,,,,,,
etc_availability,onoff,onoff_7to18,all_off,,,,,,,,
accessory_lighting,onoff,onoff_7to18,all_off,,,,,,,,
accessory_people,real,all_zero,all_zero,,,,,,,,
accessory_equipment,real,all_zero,all_zero,,,,,,,,
accessory_availability,onoff,onoff_7to18,all_off,,,,,,,,
storage_lighting,onoff,onoff_7to18,all_off,,,,,,,,
storage_people,real,all_zero,all_zero,,,,,,,,
storage_equipment,real,all_zero,all_zero,,,,,,,,
storage_availability,onoff,onoff_7to18,all_off,,,,,,,,
computer_lighting,onoff,onoff_9to21,onoff_9to21,,,,,,,,
computer_people,real,computer_people,computer_people,,,,,,,,
computer_equipment,real,computer_equipment,computer_equipment,,,,,,,,
computer_availability,onoff,all_on,all_on,,,,,,,,
kitchen_lighting,onoff,onoff_8to15,all_off,,,,,,,,
kitchen_people,real,kitchen_people,all_zero,,,,,,,,
kitchen_equipment,real,kitchen_equipment,all_zero,,,,,,,,
kitchen_availability,onoff,onoff_8to15,all_off,,,,,,,,
hospital_lighting,onoff,onoff_9to21,onoff_9to21,,,,,,,,
hospital_people,real,hospital_people,hospital_people,,,,,,,,
hospital_equipment,real,hospital_equipment,hospital_equipment,,,,,,,,
hospital_availability,onoff,all_on,all_on,,,,,,,,
guestroom_lighting,onoff,onoff_21to24,onoff_21to24,,,,,,,,
guestroom_people,real,guestroom_people,guestroom_people,,,,,,,,
guestroom_equipment,real,guestroom_equipment,guestroom_equipment,,,,,,,,
guestroom_availability,onoff,onoff_21to8,onoff_21to8,,,,,,,,
classroom방학_lighting,onoff,all_off,all_off,,,,,,,,
classroom방학_people,real,all_zero,all_zero,,,,,,,,
classroom방학_equipment,real,all_zero,all_zero,,,,,,,,
classroom방학_availability,onoff,all_off,all_off,,,,,,,,
classroom학기_lighting,onoff,onoff_9to15,all_off,,,,,,,,
classroom학기_people,real,classroom_people,all_zero,,,,,,,,
classroom학기_equipment,real,classroom_equipment,all_zero,,,,,,,,
classroom학기_availability,onoff,onoff_8to15,all_off,,,,,,,,
lectureroom방학_lighting,onoff,all_off,all_off,,,,,,,,
lectureroom방학_people,real,all_zero,all_zero,,,,,,,,
lectureroom방학_equipment,real,all_zero,all_zero,,,,,,,,
lectureroom방학_availability,onoff,all_off,all_off,,,,,,,,
lectureroom학기_lighting,onoff,onoff_9to12,all_off,,,,,,,,
lectureroom학기_people,real,lectureroom_people,all_zero,,,,,,,,
lectureroom학기_equipment,real,lectureroom_equipment,all_zero,,,,,,,,
lectureroom학기_availability,onoff,onoff_9to18,all_off,,,,,,,,
store_lighting,onoff,onoff_8to20,all_off,,,,,,onoff_8to20,,
store_people,real,store_people,all_zero,,,,,,store_people,,
store_equipment,real,store_equipment,all_zero,,,,,,store_equipment,,
store_availability,onoff,onoff_8to20,all_off,,,,,,onoff_8to20,,
exhibition_lighting,onoff,onoff_10to18,all_off,,,,,,,,
exhibition_people,real,exhibition_people,all_zero,,,,,,,,
exhibition_equipment,real,all_zero,all_zero,,,,,,,,
exhibition_availability,onoff,onoff_10to18,all_off,,,,,,,,
library_lighting,onoff,onoff_8to20,all_off,,,,,,onoff_8to20,,
library_people,real,library_people,all_zero,,,,,,library_people,,
library_equipment,real,all_zero,all_zero,,,,,,all_zero,,
library_availability,onoff,onoff_8to20,all_off,,,,,,onoff_8to20,,
gym_lighting,onoff,onoff_8to23,all_off,,,,,,onoff_8to23,,
gym_people,real,gym_people,all_zero,,,,,,gym_people,,
gym_equipment,real,all_zero,all_zero,,,,,,all_zero,,
gym_availability,onoff,onoff_8to23,all_off,,,,,,onoff_8to23,,
all_zero,real,all_zero,all_zero,,,,,,,,
