행정구역명,20180901,20010117,19870721,19840317,19000101
서울특별시 종로구,중부2,중부1,중부1,중부1,중부1
서울특별시 중구,중부2,중부1,중부1,중부1,중부1
서울특별시 용산구,중부2,중부1,중부1,중부1,중부1
서울특별시 성동구,중부2,중부1,중부1,중부1,중부1
서울특별시 광진구,중부2,중부1,중부1,중부1,중부1
서울특별시 동대문구,중부2,중부1,중부1,중부1,중부1
서울특별시 중랑구,중부2,중부1,중부1,중부1,중부1
서울특별시 성북구,중부2,중부1,중부1,중부1,중부1
서울특별시 강북구,중부2,중부1,중부1,중부1,중부1
서울특별시 도봉구,중부2,중부1,중부1,중부1,중부1
서울특별시 노원구,중부2,중부1,중부1,중부1,중부1
서울특별시 은평구,중부2,중부1,중부1,중부1,중부1
서울특별시 서대문구,중부2,중부1,중부1,중부1,중부1
서울특별시 마포구,중부2,중부1,중부1,중부1,중부1
서울특별시 양천구,중부2,중부1,중부1,중부1,중부1
서울특별시 강서구,중부2,중부1,중부1,중부1,중부1
서울특별시 구로구,중부2,중부1,중부1,중부1,중부1
서울특별시 금천구,중부2,중부1,중부1,중부1,중부1
서울특별시 영등포구,중부2,중부1,중부1,중부1,중부1
서울특별시 동작구,중부2,중부1,중부1,중부1,중부1
서울특별시 관악구,중부2,중부1,중부1,중부1,중부1
서울특별시 서초구,중부2,중부1,중부1,중부1,중부1
서울특별시 강남구,중부2,중부1,중부1,중부1,중부1
서울특별시 송파구,중부2,중부1,중부1,중부1,중부1
서울특별시 강동구,중부2,중부1,중부1,중부1,중부1
부산광역시 중구,남부,남부,남부,중부1,중부1
부산광역시 서구,남부,남부,남부,중부1,중부1
부산광역시 동구,남부,남부,남부,중부1,중부1
부산광역시 영도구,남부,남부,남부,중부1,중부1
부산광역시 부산진구,남부,남부,남부,중부1,중부1
부산광역시 동래구,남부,남부,남부,중부1,중부1
부산광역시 남구,남부,남부,남부,중부1,중부1
부산광역시 북구,남부,남부,남부,중부1,중부1
부산광역시 해운대구,남부,남부,남부,중부1,중부1
부산광역시 사하구,남부,남부,남부,중부1,중부1
부산광역시 금정구,남부,남부,남부,중부1,중부1
부산광역시 강서구,남부,남부,남부,중부1,중부1
부산광역시 연제구,남부,남부,남부,중부1,중부1
부산광역시 수영구,남부,남부,남부,중부1,중부1
부산광역시 사상구,남부,남부,남부,중부1,중부1
부산광역시 기장군,남부,남부,남부,중부1,중부1
대구광역시 군위군,중부2,남부,남부,중부1,중부1
대구광역시 중구,남부,남부,남부,중부1,중부1
대구광역시 동구,남부,남부,남부,중부1,중부1
대구광역시 서구,남부,남부,남부,중부1,중부1
대구광역시 남구,남부,남부,남부,중부1,중부1
대구광역시 북구,남부,남부,남부,중부1,중부1
대구광역시 수성구,남부,남부,남부,중부1,중부1
대구광역시 달서구,남부,남부,남부,중부1,중부1
대구광역시 달성군,남부,남부,남부,중부1,중부1
인천광역시 중구,중부2,중부1,중부1,중부1,중부1
인천광역시 동구,중부2,중부1,중부1,중부1,중부1
인천광역시 연수구,중부2,중부1,중부1,중부1,중부1
