행정구역명,법정동코드,terrain,행정구역위도,행정구역경도,기상지역명,기상지역유형,기상지역위도,기상지역경도,EPW파일명
서울특별시 종로구,1111000000,Suburbs,37.59491848,126.9773205,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 중구,1114000000,Suburbs,37.56012996,126.9959156,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 용산구,1117000000,Suburbs,37.53136485,126.9799115,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 성동구,1120000000,Suburbs,37.55102768,127.041052,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 광진구,1121500000,Suburbs,37.54671889,127.085746,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
서울특별시 동대문구,1123000000,Suburbs,37.58201015,127.054874,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 중랑구,1126000000,Suburbs,37.59781888,127.0928852,H-207 헬기장,일반 지역,37.719,127.099,KOR_KG_H-207.Heli.471064_TMYx.2007-2021.epw
서울특별시 성북구,1129000000,Suburbs,37.60570205,127.0175145,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 강북구,1130500000,Suburbs,37.64346741,127.0111936,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 도봉구,1132000000,Suburbs,37.66910587,127.0323761,H-207 헬기장,일반 지역,37.719,127.099,KOR_KG_H-207.Heli.471064_TMYx.2007-2021.epw
서울특별시 노원구,1135000000,Suburbs,37.65251187,127.0750489,H-207 헬기장,일반 지역,37.719,127.099,KOR_KG_H-207.Heli.471064_TMYx.2007-2021.epw
서울특별시 은평구,1138000000,Suburbs,37.61921343,126.9270276,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 서대문구,1141000000,Suburbs,37.57779069,126.9390645,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 마포구,1144000000,Suburbs,37.55931623,126.9082585,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 양천구,1147000000,Suburbs,37.52474046,126.855371,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
서울특별시 강서구,1150000000,Suburbs,37.56123485,126.8228112,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
서울특별시 구로구,1153000000,Suburbs,37.49440449,126.8563199,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
서울특별시 금천구,1154500000,Suburbs,37.46057342,126.9008231,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 영등포구,1156000000,Suburbs,37.5223135,126.9101818,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 동작구,1159000000,Suburbs,37.49888591,126.9516674,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 관악구,1162000000,Suburbs,37.46738852,126.9453328,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
서울특별시 서초구,1165000000,Suburbs,37.47329624,127.031236,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
서울특별시 강남구,1168000000,Suburbs,37.49666019,127.0629713,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
